# Water withdrawals by subsector,,,,,
sector,subsector,var1,var2,var3,unit_conv
biomass,biomassGrass_ChinaCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_GangesR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Hainan,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Hong,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_HuangHeR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_IndusR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_IrrawaddyR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Mekong,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_RusCstSE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_SChinaSea,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Salween,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Tarim,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_XunJiang,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_Yangtze,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_ZiyaHe,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_BoHai,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ChinaCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_GangesR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Hainan,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Hong,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_HuangHeR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_IrrawaddyR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Mekong,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_RusCstSE,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_SChinaSea,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Salween,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_XunJiang,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_Yangtze,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_ZiyaHe,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_MagdalenaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_OrinocoR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_MagdalenaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_OrinocoR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_AdrBlkSea,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_BalticSea,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_DanubeR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_DaugavaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_DniesterR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_DnkGrmCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_ElbeR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_NarvaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_NemanR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_OderR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_PolandCst,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassGrass_WislaR,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_AdrBlkSea,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
biomass,biomassTree_BalticSea,Water Withdrawal,NoReported,??elec|biomass?? Or irrigation?,1
