"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 7.1","Reference","China","Agricultural Demand","million t DM/yr",766.169373976221,890.241213969925,1000.74422905794,1081.40825857053,1149.76850356678,1198.62402192963,1226.81803156756,1240.90727497321,1243.60798061071,1235.62741466893,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Colombia","Agricultural Demand","million t DM/yr",24.4615383489568,25.678162440005,29.6962100255058,32.476228356475,35.5052808381179,38.348112436102,41.4211680459561,44.8372632062503,48.2699234280655,51.248031685198,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","EU-12","Agricultural Demand","million t DM/yr",87.1051120866331,84.2954934268746,84.9031285946037,90.2009313003012,93.2601383134473,95.3612310051021,96.8940572738635,98.9746832908752,101.762865116311,104.329165030492,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","EU-15","Agricultural Demand","million t DM/yr",334.16148978705,352.306812046562,370.446016293835,384.903561833451,394.461964524963,401.928975834504,408.097626663194,421.272016340791,445.685194562715,469.646705085926,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Europe_Eastern","Agricultural Demand","million t DM/yr",54.3762965365985,56.2006000692977,55.7301148050178,56.8518202037607,57.9441438866587,59.1509311202858,60.2352348200653,61.2281109727554,61.9912962283192,62.4954046115907,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Europe_Non_EU","Agricultural Demand","million t DM/yr",69.1232118117175,72.2146171253853,82.0725267533089,87.5316786416957,93.0515469419513,98.137973336724,102.701334578872,107.117166418322,111.341224035442,115.014783961088,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","European Free Trade Association","Agricultural Demand","million t DM/yr",6.58964340224525,7.17369908199077,7.92022465489131,8.37054461592045,8.77017521853345,9.1384552353452,9.48829929459627,10.137903554412,11.1273395911239,12.0496877222484,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","India","Agricultural Demand","million t DM/yr",382.067187007797,454.008641634015,506.79929257701,570.595898175562,637.579955075477,698.07222365529,754.725463757503,809.023343579894,859.648463220046,903.379588845042,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Indonesia","Agricultural Demand","million t DM/yr",128.406741344231,158.660459987221,184.700282599335,211.979103215456,238.243517192093,267.703451205516,295.464820977438,327.305769344422,360.282240949468,387.404983974438,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Japan","Agricultural Demand","million t DM/yr",60.101748324325,58.7882995973267,59.4867541508966,61.2865249629335,61.001979351241,60.6678603136298,59.9861959447287,59.1513792498138,63.2083739545983,66.9070661172749,0,0,0,0,0,0,0,0,0,0
"GCAM 7.1","Reference","Mexico","Agricultural Demand","million t DM/yr",72.7824202174678,71.6801198368804,76.8055008706743,82.0120993703734,87.5550178582565,93.2713043983289,98.4912516603049,103.626277732967,108.868578132242,113.858039717649,0,0,0,0,0,0,0,0,0,0
