"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 7.0","Reference","South America_Southern","Agricultural Demand|Crops","million t DM/yr",37.4960296351138,44.1455237212557,52.5103383383907,56.5358238582743,60.7385840188735,65.0465394982678,69.0525905147822,73.1587952440995,77.19406079154,80.6890301442009,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","South Asia","Agricultural Demand|Crops","million t DM/yr",72.3364330758578,89.4233598686965,108.291019565257,119.281883857929,130.824238869551,142.351755084932,153.424287744583,164.357451722077,174.898696718128,184.960517014881,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","South Korea","Agricultural Demand|Crops","million t DM/yr",27.5428046425395,32.33894024675,36.5121546123356,38.8728721842888,39.960765299491,40.694795073558,41.5813066487242,43.614200022465,46.5899423237509,49.1400261663286,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Southeast Asia","Agricultural Demand|Crops","million t DM/yr",230.865943491306,265.38112440326,291.428891626919,326.952632316606,362.583118314178,397.295278352634,433.280962627639,478.582037185219,531.775159991496,580.248650286673,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Taiwan","Agricultural Demand|Crops","million t DM/yr",13.2578099670026,13.1319804784442,13.7048134314028,14.240711995968,14.5084607520289,14.7360191459593,15.4336832461468,17.5547191957851,21.3459320564347,25.3875027057944,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","USA","Agricultural Demand|Crops","million t DM/yr",345.585252915781,366.459996509568,436.411371730217,475.24813228588,488.185170690831,493.496011562329,495.019869483569,513.611696938972,567.092441510462,613.107823432213,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","World","Agricultural Demand|Crops","million t DM/yr",3509.39956507787,4037.17640611772,4607.4057087959,5008.30078136061,5369.06869620104,5715.98070336469,6036.78132915096,6413.80310128247,6865.51575859253,7278.63392632373,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Africa_Eastern","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.982977,1.0905144,1.254103868,1.51073615306607,2.18265469837509,3.30301328478001,4.73329389553721,6.54826359037584,8.823245987516,11.317814910353,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Africa_Northern","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.0941071,0.145376,0.163185,0.259567090714763,0.444911415869493,0.771781104044323,1.17485463777634,1.72419232144588,2.40371499766392,3.09456489168594,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Africa_Southern","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.500495,0.635117,0.84592048,0.916779484256993,1.81514304286066,3.24921865084629,4.98659325963402,7.4354800430854,10.7507622508494,14.7622747249738,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Africa_Western","Agricultural Demand|Crops|Bioenergy","million t DM/yr",1.29602,1.68403,2.30001,2.96689530202763,4.30989663895527,6.9288553047033,10.2257015420549,14.5930707263199,20.2955286220869,27.1079308567086,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Argentina","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.178216196,2.96070272,6.177949,6.1188838,6.346576,6.320363,6.2561004,6.5024294,7.409899,8.7073738,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Australia_NZ","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.347969484,0.822216069379782,0.993010420501168,1.97491244016573,2.30350413496977,2.28462989688613,2.68695271920677,3.8347148947263,5.29263826370524,6.39070637243911,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Brazil","Agricultural Demand|Crops|Bioenergy","million t DM/yr",39.9454981908896,79.0724829919232,101.232190973536,109.800781761748,113.445051757769,117.146001646922,122.576275192278,144.788689425247,184.253672729677,223.556176202187,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Canada","Agricultural Demand|Crops|Bioenergy","million t DM/yr",1.32260648,4.70272754979155,6.85615430409871,10.1893768394319,10.7609661003526,10.2762568051137,10.7148845930651,13.5831253269126,17.7332736450109,20.8594251235479,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Central America and Caribbean","Agricultural Demand|Crops|Bioenergy","million t DM/yr",4.23942745240957,1.63562684342916,1.71800624621261,1.44453271786727,1.69611224160366,2.28639934681768,3.5333015191751,6.15099927161773,10.5325387825359,15.6405959754198,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Central Asia","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.0241532,0.0296369,0.0422575016379761,0.355369813562464,0.559452156471475,0.752338639046526,1.11719321470391,1.81639655950157,2.83906931324759,3.78800209279964,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","China","Agricultural Demand|Crops|Bioenergy","million t DM/yr",3.15544504,8.691676,11.1571076,19.1289324,25.7497504,33.347105,41.6472894,52.24221,65.064968,77.867868,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Colombia","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.0959122156758713,0.160579543686509,0.208970696725012,0.649211430771081,1.08199823389663,1.44750521381556,2.21228937929592,3.55158285257915,5.23479981779277,6.70114329294913,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","EU-12","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.930650801994209,5.93167675653071,6.43723566928238,8.32796637509052,8.70461516009948,8.39239498868612,8.14917447318707,9.15905569765584,11.5412928510829,13.9574077611042,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","EU-15","Agricultural Demand|Crops|Bioenergy","million t DM/yr",12.8737271303848,39.7613289797439,42.0556275825307,48.0285143611015,50.2332326412232,47.5837633640925,44.320300922638,51.2017989468046,72.6380419895154,93.2024485473224,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Europe_Eastern","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.066725,0.209105293510427,0.343389346721778,0.922864683667293,1.07896576901873,1.21039344921534,1.51838974339555,2.02912371890047,2.6982487752058,3.26014467896259,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Europe_Non_EU","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.374842,0.384850893550543,0.813675860692106,1.46236450498261,1.86945811347753,2.00661540982532,2.54062765733091,3.68623060392817,5.40505069801909,7.01359010495385,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","European Free Trade Association","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.158676132627447,0.404502226771733,0.574032823602081,0.729218734995021,0.907784269582197,0.88938892700003,0.873260280047474,1.28832544451709,2.14229267224479,2.91225996595794,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","India","Agricultural Demand|Crops|Bioenergy","million t DM/yr",2.17381682,2.39906982,4.06811552,14.50517136,22.6013492,29.21906,34.31387056,38.68126472,41.85995256,42.5458488,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Indonesia","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.321066,0.9451586,2.758321,18.8061884658229,33.4414949807577,51.9745718334788,70.5337685795615,96.1365227475136,125.68233130757,151.266501844584,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Japan","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.338618,1.27516568,1.929067992,1.92947712,1.956918744,1.89129316,1.774083456,2.80633748,9.4808344,14.600412,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Mexico","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.105742,0.0809809,0.108893,0.338998770218118,0.517511040833096,0.810162755138413,1.42915300268477,2.69125763474113,4.82065598099634,7.15476831176222,0,0,0,0,0,0,0,0,0,0
"GCAM 7.0","Reference","Middle East","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.0389024,0.0419352,0.0379046,0.32999008051755,0.748480197106847,1.91878490355615,4.03449567658805,8.05707538016687,13.9341183526169,19.7971190266613,0,0,0,0,0,0,0,0,0,0
