"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060"
"GCAM 7.1","trn_EVcost-20_241121","World","Sales|Transportation|Light-Duty Vehicle|Battery-Electric","million",0,0,0,0,10.5925603334572,34.7382053417248,36.4323235306679,38.232785948964,35.6377335234581,36.8963119376177,40.2494461227282,41.2081558928292
"GCAM 7.1","trn_EVcost-20_241121","Africa_Eastern","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.000461180595393025,0.00879446604543115,0.0112107678296371,0.0167218368462423,0.0260209925347775,0.040360548276668,0.0584657698282855,0.0750107318146198
"GCAM 7.1","trn_EVcost-20_241121","Africa_Northern","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.00209316122357334,0.0306410207397035,0.0328371169265512,0.0424707147409577,0.0532854296441901,0.0692437892681854,0.0822905646369798,0.0882364944938614
"GCAM 7.1","trn_EVcost-20_241121","Africa_Southern","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.000347510689081035,0.00569698347010075,0.0063783478114969,0.00944337759193316,0.013974058316908,0.0212320125933156,0.0300976861844728,0.0384992273533415
"GCAM 7.1","trn_EVcost-20_241121","Africa_Western","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.00128192059714135,0.023121272671766,0.0268824643596244,0.039663254138998,0.0601455167844113,0.093075848605249,0.130189490905591,0.162645036226405
"GCAM 7.1","trn_EVcost-20_241121","Argentina","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0131890741608119,0.0710292740046838,0.0725149804839969,0.0902350195160031,0.100440046838407,0.128371818891491,0.141430991412959,0.146729195940671
"GCAM 7.1","trn_EVcost-20_241121","Australia_NZ","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0332068336928447,0.197516437656929,0.202463381120126,0.253876960764897,0.294410606926463,0.367127902018344,0.395419252360404,0.418848431764845
"GCAM 7.1","trn_EVcost-20_241121","Brazil","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0725358940175606,0.327058934653372,0.317939334445575,0.380725018253562,0.401483784188958,0.483675039907174,0.508704935537906,0.505172028268661
"GCAM 7.1","trn_EVcost-20_241121","Canada","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0334168146294741,0.258396315590482,0.26095971372261,0.3377792374138,0.385583044745015,0.487381880719123,0.518261785750699,0.542117068262436
"GCAM 7.1","trn_EVcost-20_241121","Central America and Caribbean","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0147528508977361,0.081505987509758,0.0889799297423888,0.116697892271663,0.142734894613583,0.183172911787666,0.209672989851678,0.228614597970336
"GCAM 7.1","trn_EVcost-20_241121","Central Asia","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.00842667583103047,0.0755885828347072,0.0856842154818117,0.111703206428864,0.13662032699831,0.174995315817472,0.19679884378369,0.207360616146542
"GCAM 7.1","trn_EVcost-20_241121","China","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0412816300267877,0.220200944565925,0.214153434841783,0.243163655239434,0.25267243485295,0.287516450905855,0.311949521906398,0.291040221036114
"GCAM 7.1","trn_EVcost-20_241121","Colombia","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0102894293520687,0.0536471896955504,0.0582505152224824,0.0755871740827478,0.0899033567525371,0.114283762685402,0.128717720530835,0.137608118657299
"GCAM 7.1","trn_EVcost-20_241121","EU-12","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0170046252538664,0.188224595654747,0.198971950320255,0.255029394606624,0.284201404768356,0.36426258299201,0.406185798215235,0.406782642217449
"GCAM 7.1","trn_EVcost-20_241121","EU-15","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.339120380996799,2.1102301204367,2.19061120833236,2.76094963139379,2.99492797497923,3.69429370134961,3.89203076865646,3.98706840667193
"GCAM 7.1","trn_EVcost-20_241121","Europe_Eastern","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0040440708606185,0.0383533427173908,0.0445179152327733,0.0576969074979874,0.0684746230292302,0.088763893661995,0.103624474500628,0.110605365860548
"GCAM 7.1","trn_EVcost-20_241121","Europe_Non_EU","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.022984800519177,0.197550534975416,0.212378724399581,0.276457843969967,0.324200053439484,0.415111820056091,0.45524954599739,0.470115370420093
"GCAM 7.1","trn_EVcost-20_241121","European Free Trade Association","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0122424286612688,0.0767494811144498,0.0792887874539581,0.0999672747008712,0.109693118005942,0.13711766153714,0.145689308975952,0.149555483776862
"GCAM 7.1","trn_EVcost-20_241121","India","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0024415125420103,0.0306763656055723,0.0364863710721234,0.0490369013826444,0.063900421967117,0.0848014638630539,0.102296641155285,0.109999219086286
"GCAM 7.1","trn_EVcost-20_241121","Indonesia","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.00245852179607562,0.0347950272174682,0.0376253440382211,0.0492376019263205,0.0616295811459844,0.0819158529456848,0.0962219159686838,0.100177702570275
"GCAM 7.1","trn_EVcost-20_241121","Japan","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0611980289966885,0.317092192501334,0.306016747176991,0.363217459737595,0.365408018321493,0.43473352068981,0.44967714687725,0.442942558629019
"GCAM 7.1","trn_EVcost-20_241121","Mexico","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0409661280249805,0.22533637782982,0.239531147540984,0.303342701014832,0.351528883684621,0.443947619047619,0.494514832162373,0.515035987509758
"GCAM 7.1","trn_EVcost-20_241121","Middle East","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.149072499983411,0.754579048646515,0.814791618590483,0.960893900516677,1.0453802101305,1.25668807142857,1.53122735714286,1.61396264285714
"GCAM 7.1","trn_EVcost-20_241121","Pakistan","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.000662626719928192,0.011626158660465,0.0139140342852558,0.0190615792165875,0.0250533208260331,0.0351168061661055,0.0458886858343944,0.0527485300639834
"GCAM 7.1","trn_EVcost-20_241121","Russia","Sales|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric","million",0,0,0,0,0.0194393951519888,0.192331498891332,0.201219958854517,0.250513847761714,0.273550233738354,0.348785549179209,0.394824613849174,0.406012701431618
